ID,RAJ2000,DEJ2000,Distance (kpc),Mass3Myr (M_Jup),AV3Myr,Mass5Myr (M_Jup),AV5Myr,Mass10Myr (M_Jup),AV10Myr,Model,FFP_class,pmRA (mas/yr),pmDE (mas/yr),pmra_error (mas/yr),pmdec_error (mas/yr),Mjmag,gmag,rmag,imag,zmag,ymag,Jmag,Hmag,Ksmag,F150Wmag,F200Wmag,W1mag,W2mag,W3mag,umag,[3.6],[4.5],[5.8],parallax (mas),parallax_error (mas),Teff (K),Radius (R_Jup),log g (cgs),Spectral Type,v sin i (km s-1),ref,notes,region,detection_method,instrument,catalog,tE_days,thetaE_muas,mu_rel_masyr,u0,rho,Source_I0_mag,Source_VI0,Source_Teff_K,Surface_Gravity_GEarth,Other IDs
3280,245.689664449499,-25.4349631989156,,11.5027024727752,0.2690943919250284,14.9605981264813,0.5084677149263386,15.55474812433033,0.037681478373166,BHAC15,tentative,-10.66709769773483,-20.99999959540367,,,,,23.4750003814697,20.9360008239746,19.2290000915527,18.2810001373291,16.1459999084473,15.1599998474121,14.451000213623,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3068,246.697674537356,-24.9453133251176,,10.09994670677172,0.1624315281522932,13.73711903867624,0.0750671003437588,14.56816376338056,0.0686763923843907,BHAC15,tentative,-4.717869887828827,-28.48705060553551,,,,,23.7840003967285,21.0400009155273,19.3059997558594,18.5739994049072,16.617000579834,15.753999710083,15.0749998092651,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3176,247.22645463834,-24.7919816531597,,5.440949608321293,0.0171132261514512,6.96717020984576,0.0659783266610223,10.01437114837784,0.2152535766058936,BHAC15,robust,-7.827998290538788,-27.00704343390465,,,,,25.2439994812012,23.6000003814697,22.5470008850098,21.6560001373291,18.6529998779297,17.6770000457764,16.4850006103516,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
2993,246.325423624348,-24.4628680919953,,6.606879667484234,0.0577532961164858,7.848584759879399,0.0067802746945227,10.22168955972327,0.1144412866678566,BHAC15,robust,-20.57752479124069,-32.83378942084313,,,,,,23.0610008239746,21.6650009155273,21.5370006561279,18.2140007019043,17.1480007171631,16.3899993896484,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
2994,246.789479450831,-24.1911175581488,,5.537560525803141,0.0624646907468655,6.265313660356395,0.0874140372630866,8.53148728756259,0.1223393313342089,BHAC15,robust,-9.382805476665496,-25.46779210639,,,,,,24.0879993438721,21.9370002746582,21.9230003356934,19.4290008544922,17.7959995269775,16.9379997253418,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3293,245.578549375098,-24.6674618309565,,7.518494963337367,0.0840066522857267,9.558638099264275,0.0739703192676204,13.73533051932218,0.4158382177561344,BHAC15,probable,-10.91904271650314,-27.23439557623864,,,,,,22.2040004730225,20.423999786377,19.6959991455078,17.3320007324219,16.2549991607666,15.4799995422363,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe)/EMIR,DANCe,,,,,,,,,,
3188,245.398989920755,-24.0302869452876,,8.961489869731167,0.0710371097445089,11.3905843718916,0.0661544391592561,14.32090594131925,0.0883919612516569,BHAC15,probable,-14.2718321185112,-27.19345815253258,,,,,,21.3659992218018,19.8349990844727,19.1599998474121,17.0189990997314,16.0370006561279,15.3570003509521,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3141,245.95635059654,-24.1288027752058,,6.333026165899915,0.1967728737480197,7.25819541948669,0.2277114977949553,7.727899983620095,0.0040871421811936,BHAC15,robust,-10.99418986845016,-19.11672456336021,,,,,,23.2199993133545,21.632999420166,20.8619995117188,18.5020008087158,17.2089996337891,16.3859996795654,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
2995,246.422675686717,-24.0977910179925,,5.691978646302722,0.0821502712217573,6.791616394462343,0.0626687807245151,9.16966998282769,0.0861672597472427,BHAC15,robust,-8.50136912870407,-25.5427490003109,,,,,,23.818000793457,22.2910003662109,21.6270008087158,19.1310005187988,17.6590003967285,16.8929996490479,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3144,246.440956207388,-23.7936735126687,,5.574292325314859,0.0769510267735536,5.961230852090002,0.0035781794407181,8.529542245219675,0.0388147036114471,BHAC15,robust,-12.22751582670212,-29.8980727918148,,,,,,23.6380004882812,21.9309997558594,21.4209995269775,18.738000869751,17.4899997711182,16.4559993743896,,,,,,,,,,,,1560,,,L4,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe)/EMIR,DANCe,,,,,,,,,,
